,time,lng,lat
0,2024-05-20 00:03:06,118.816160,31.894585
1,2024-05-20 06:59:49,118.815720,31.894688
2,2024-05-20 06:59:53,118.815544,31.894665
3,2024-05-20 06:59:56,118.815500,31.894625
4,2024-05-20 06:59:58,118.815460,31.894575
5,2024-05-20 06:59:59,118.815460,31.894535
6,2024-05-20 07:00:19,118.815560,31.893389
7,2024-05-20 07:00:22,118.815575,31.893255
8,2024-05-20 07:00:23,118.815560,31.893215
9,2024-05-20 07:00:24,118.815544,31.893185
10,2024-05-20 07:00:25,118.815500,31.893160
11,2024-05-20 07:00:27,118.815414,31.893152
12,2024-05-20 07:00:30,118.815230,31.893156
13,2024-05-20 07:01:01,118.813350,31.893070
14,2024-05-20 07:01:31,118.811455,31.892984
15,2024-05-20 07:01:58,118.809110,31.892815
16,2024-05-20 07:01:59,118.809070,31.892788
17,2024-05-20 07:02:02,118.808920,31.892696
18,2024-05-20 07:02:05,118.808810,31.892551
19,2024-05-20 07:02:07,118.808740,31.892435
20,2024-05-20 07:02:22,118.808590,31.891504
21,2024-05-20 07:02:52,118.808560,31.890043
22,2024-05-20 07:03:11,118.808624,31.888672
23,2024-05-20 07:03:12,118.808610,31.888624
24,2024-05-20 07:03:15,118.808510,31.888489
25,2024-05-20 07:03:17,118.808400,31.888432
26,2024-05-20 07:03:19,118.808270,31.888395
27,2024-05-20 07:03:28,118.807590,31.888342
28,2024-05-20 07:03:50,118.806656,31.888382
29,2024-05-20 07:04:08,118.806110,31.888252
30,2024-05-20 07:04:10,118.806040,31.888165
31,2024-05-20 07:04:11,118.806020,31.888105
32,2024-05-20 07:04:13,118.806010,31.887960
33,2024-05-20 07:04:35,118.806560,31.885015
34,2024-05-20 07:05:06,118.808290,31.879816
35,2024-05-20 07:05:36,118.808510,31.879095
36,2024-05-20 07:06:05,118.808525,31.878930
37,2024-05-20 07:40:29,118.808610,31.878899
38,2024-05-20 07:40:32,118.808670,31.878840
39,2024-05-20 07:40:33,118.808685,31.878800
40,2024-05-20 07:40:53,118.809800,31.876322
41,2024-05-20 07:41:17,118.810920,31.874603
42,2024-05-20 07:41:18,118.810970,31.874573
43,2024-05-20 07:41:19,118.811000,31.874560
44,2024-05-20 07:41:20,118.811035,31.874563
45,2024-05-20 07:41:21,118.811050,31.874573
46,2024-05-20 07:41:26,118.811120,31.874632
47,2024-05-20 07:41:27,118.811120,31.874666
48,2024-05-20 07:41:28,118.811120,31.874720
49,2024-05-20 07:41:29,118.811104,31.874771
50,2024-05-20 07:41:57,118.809130,31.878239
51,2024-05-20 07:42:06,118.808840,31.879139
52,2024-05-20 07:42:07,118.808820,31.879211
53,2024-05-20 07:42:37,118.808270,31.880594
54,2024-05-20 07:43:07,118.806880,31.884806
55,2024-05-20 07:43:11,118.806670,31.885542
56,2024-05-20 07:43:33,118.806230,31.888271
57,2024-05-20 07:43:35,118.806280,31.888367
58,2024-05-20 07:43:36,118.806330,31.888382
59,2024-05-20 07:43:38,118.806380,31.888395
60,2024-05-20 07:43:39,118.806480,31.888391
61,2024-05-20 07:43:40,118.806526,31.888391
62,2024-05-20 07:43:53,118.806940,31.888391
63,2024-05-20 07:43:59,118.807520,31.888304
64,2024-05-20 07:44:08,118.808350,31.888304
65,2024-05-20 07:44:09,118.808400,31.888292
66,2024-05-20 07:44:38,118.808510,31.888240
67,2024-05-20 07:44:40,118.808540,31.888248
68,2024-05-20 07:44:43,118.808580,31.888280
69,2024-05-20 07:44:44,118.808610,31.888334
70,2024-05-20 07:44:46,118.808610,31.888367
71,2024-05-20 07:44:47,118.808540,31.888428
72,2024-05-20 07:44:48,118.808495,31.888445
73,2024-05-20 07:44:49,118.808430,31.888435
74,2024-05-20 07:44:52,118.808180,31.888374
75,2024-05-20 07:45:00,118.807330,31.888342
76,2024-05-20 07:45:09,118.806816,31.888412
77,2024-05-20 07:45:10,118.806800,31.888409
78,2024-05-20 07:45:40,118.806340,31.888346
79,2024-05-20 07:47:11,118.806280,31.888374
80,2024-05-20 07:47:14,118.806210,31.888382
81,2024-05-20 07:47:16,118.806140,31.888357
82,2024-05-20 07:47:18,118.806050,31.888292
83,2024-05-20 07:47:20,118.805990,31.888168
84,2024-05-20 07:47:22,118.805990,31.887980
85,2024-05-20 07:47:41,118.806580,31.884968
86,2024-05-20 07:48:10,118.808170,31.880117
87,2024-05-20 07:48:40,118.808495,31.879170
88,2024-05-20 08:00:18,118.808540,31.878876
89,2024-05-20 08:00:20,118.808590,31.878800
90,2024-05-20 08:00:44,118.809930,31.876110
91,2024-05-20 08:00:46,118.810005,31.876013
92,2024-05-20 08:00:57,118.810480,31.875332
93,2024-05-20 08:01:07,118.810920,31.874632
94,2024-05-20 08:01:10,118.810980,31.874580
95,2024-05-20 08:01:11,118.811050,31.874573
96,2024-05-20 08:01:40,118.811134,31.874650
97,2024-05-20 08:01:43,118.811134,31.874716
98,2024-05-20 08:01:44,118.811120,31.874744
99,2024-05-20 08:01:45,118.811080,31.874780
100,2024-05-20 08:01:48,118.810970,31.874907
101,2024-05-20 08:02:18,118.810330,31.875841
102,2024-05-20 08:02:29,118.809715,31.876944
103,2024-05-20 08:02:59,118.808850,31.878984
104,2024-05-20 08:03:29,118.807900,31.881730
105,2024-05-20 08:03:56,118.806720,31.885460
106,2024-05-20 08:04:26,118.806330,31.887823
107,2024-05-20 08:04:32,118.806270,31.888252
108,2024-05-20 08:04:34,118.806300,31.888342
109,2024-05-20 08:04:35,118.806340,31.888367
110,2024-05-20 08:04:36,118.806400,31.888382
111,2024-05-20 08:04:37,118.806450,31.888382
112,2024-05-20 08:04:42,118.806690,31.888382
113,2024-05-20 08:04:48,118.806816,31.888412
114,2024-05-20 08:04:51,118.807000,31.888395
115,2024-05-20 08:04:55,118.807470,31.888320
116,2024-05-20 08:05:05,118.808420,31.888300
117,2024-05-20 08:05:25,118.808540,31.888220
118,2024-05-20 08:05:31,118.808700,31.888052
119,2024-05-20 08:05:34,118.808740,31.887968
120,2024-05-20 08:06:03,118.808910,31.885916
121,2024-05-20 08:06:08,118.808950,31.885720
122,2024-05-20 08:06:10,118.809000,31.885680
123,2024-05-20 08:06:11,118.809050,31.885675
124,2024-05-20 08:06:12,118.809080,31.885689
125,2024-05-20 08:06:13,118.809100,31.885704
126,2024-05-20 08:06:43,118.808870,31.885675
127,2024-05-20 08:12:03,118.808740,31.885635
128,2024-05-20 08:12:06,118.808790,31.885645
129,2024-05-20 08:12:35,118.808840,31.885653
130,2024-05-20 08:20:37,118.809030,31.885742
131,2024-05-20 08:20:39,118.809070,31.885813
132,2024-05-20 08:21:09,118.808810,31.888176
133,2024-05-20 08:21:10,118.808790,31.888240
134,2024-05-20 08:21:11,118.808740,31.888292
135,2024-05-20 08:21:13,118.808610,31.888378
136,2024-05-20 08:21:14,118.808510,31.888395
137,2024-05-20 08:21:20,118.807900,31.888374
138,2024-05-20 08:21:28,118.807190,31.888342
139,2024-05-20 08:21:39,118.806720,31.888388
140,2024-05-20 08:21:58,118.806170,31.888342
141,2024-05-20 08:21:59,118.806120,31.888315
142,2024-05-20 08:22:01,118.806070,31.888248
143,2024-05-20 08:22:03,118.806040,31.888172
144,2024-05-20 08:22:06,118.806010,31.888037
145,2024-05-20 08:22:17,118.806140,31.887264
146,2024-05-20 08:22:47,118.807500,31.882175
147,2024-05-20 08:23:17,118.808540,31.878918
148,2024-05-20 08:23:27,118.808624,31.878769
149,2024-05-20 08:23:57,118.810320,31.875614
150,2024-05-20 08:24:27,118.812840,31.871696
151,2024-05-20 08:24:33,118.813220,31.871183
152,2024-05-20 08:24:34,118.813280,31.871126
153,2024-05-20 08:24:35,118.813440,31.871044
154,2024-05-20 08:24:37,118.813675,31.871008
155,2024-05-20 08:25:07,118.816490,31.871092
156,2024-05-20 08:25:15,118.816635,31.871110
157,2024-05-20 08:25:17,118.816710,31.871162
158,2024-05-20 08:25:18,118.816750,31.871204
159,2024-05-20 08:25:20,118.816765,31.871296
160,2024-05-20 08:25:25,118.816790,31.871555
161,2024-05-20 08:25:27,118.816830,31.871649
162,2024-05-20 08:25:28,118.816880,31.871672
163,2024-05-20 08:25:29,118.816940,31.871675
164,2024-05-20 08:25:49,118.818990,31.871664
165,2024-05-20 08:25:52,118.819090,31.871700
166,2024-05-20 08:25:59,118.819040,31.871680
167,2024-05-20 08:26:01,118.819010,31.871675
168,2024-05-20 08:26:10,118.818950,31.871664
169,2024-05-20 08:26:12,118.818890,31.871704
170,2024-05-20 08:26:13,118.818850,31.871716
171,2024-05-20 08:26:15,118.818730,31.871723
172,2024-05-20 08:26:45,118.818550,31.871704
173,2024-05-20 08:27:16,118.817184,31.871704
174,2024-05-20 08:27:21,118.816680,31.871683
175,2024-05-20 08:27:22,118.816610,31.871656
176,2024-05-20 08:27:23,118.816550,31.871618
177,2024-05-20 08:27:24,118.816520,31.871572
178,2024-05-20 08:27:31,118.816505,31.871471
179,2024-05-20 08:27:36,118.816490,31.871332
180,2024-05-20 08:27:38,118.816460,31.871284
181,2024-05-20 08:27:40,118.816376,31.871260
182,2024-05-20 08:28:04,118.813920,31.871288
183,2024-05-20 08:28:07,118.813736,31.871328
184,2024-05-20 08:28:15,118.813150,31.871660
185,2024-05-20 08:28:17,118.813030,31.871803
186,2024-05-20 08:28:46,118.811104,31.874756
187,2024-05-20 08:29:16,118.810074,31.876307
188,2024-05-20 08:29:17,118.810005,31.876451
189,2024-05-20 08:29:47,118.808480,31.879988
190,2024-05-20 08:30:17,118.807710,31.882195
191,2024-05-20 08:30:41,118.806670,31.885595
192,2024-05-20 08:31:06,118.806250,31.888227
193,2024-05-20 08:31:07,118.806270,31.888268
194,2024-05-20 08:31:08,118.806300,31.888304
195,2024-05-20 08:31:09,118.806330,31.888338
196,2024-05-20 08:31:11,118.806360,31.888353
197,2024-05-20 08:31:12,118.806465,31.888357
198,2024-05-20 08:31:34,118.807100,31.888334
199,2024-05-20 08:31:37,118.807440,31.888268
200,2024-05-20 08:31:46,118.808525,31.888330
201,2024-05-20 08:31:47,118.808610,31.888288
202,2024-05-20 08:31:48,118.808655,31.888235
203,2024-05-20 08:31:49,118.808700,31.888168
204,2024-05-20 08:31:50,118.808720,31.888084
205,2024-05-20 08:32:20,118.808920,31.885770
206,2024-05-20 08:32:21,118.808940,31.885729
207,2024-05-20 08:32:22,118.808970,31.885700
208,2024-05-20 08:32:24,118.809050,31.885680
209,2024-05-20 08:32:27,118.809100,31.885704
210,2024-05-20 08:32:56,118.808970,31.885680
211,2024-05-20 08:40:34,118.808940,31.885664
212,2024-05-20 08:40:39,118.809050,31.885715
213,2024-05-20 08:40:41,118.809070,31.885778
214,2024-05-20 08:40:42,118.809070,31.885817
215,2024-05-20 08:40:50,118.808940,31.886423
216,2024-05-20 08:41:08,118.808754,31.888256
217,2024-05-20 08:41:09,118.808685,31.888308
218,2024-05-20 08:41:11,118.808540,31.888382
219,2024-05-20 08:41:12,118.808450,31.888395
220,2024-05-20 08:41:25,118.807080,31.888367
221,2024-05-20 08:41:30,118.806850,31.888395
222,2024-05-20 08:41:59,118.806210,31.888300
223,2024-05-20 08:42:01,118.806070,31.888184
224,2024-05-20 08:42:03,118.806020,31.888048
225,2024-05-20 08:42:05,118.806020,31.887886
226,2024-05-20 08:42:34,118.807240,31.882984
227,2024-05-20 08:43:04,118.808540,31.878925
228,2024-05-20 08:43:20,118.808580,31.878843
229,2024-05-20 08:43:50,118.810330,31.875626
230,2024-05-20 08:44:20,118.812630,31.872053
231,2024-05-20 08:44:51,118.813100,31.871363
232,2024-05-20 08:45:20,118.813200,31.871220
233,2024-05-20 08:45:22,118.813290,31.871159
234,2024-05-20 08:45:26,118.813560,31.871048
235,2024-05-20 08:45:28,118.813720,31.871033
236,2024-05-20 08:45:58,118.816360,31.871110
237,2024-05-20 08:46:45,118.816696,31.871162
238,2024-05-20 08:46:46,118.816730,31.871200
239,2024-05-20 08:46:47,118.816765,31.871240
240,2024-05-20 08:46:49,118.816765,31.871332
241,2024-05-20 08:46:54,118.816765,31.871572
242,2024-05-20 08:46:56,118.816830,31.871660
243,2024-05-20 08:46:57,118.816880,31.871683
244,2024-05-20 08:46:58,118.816925,31.871693
245,2024-05-20 08:47:01,118.817154,31.871693
246,2024-05-20 08:47:16,118.818980,31.871668
247,2024-05-20 08:47:19,118.819120,31.871708
248,2024-05-20 08:47:27,118.819090,31.871680
249,2024-05-20 08:47:28,118.819070,31.871680
250,2024-05-20 08:47:39,118.818980,31.871656
251,2024-05-20 08:47:42,118.818890,31.871716
252,2024-05-20 08:47:43,118.818850,31.871723
253,2024-05-20 08:48:12,118.818580,31.871720
254,2024-05-20 08:49:09,118.816710,31.871723
255,2024-05-20 08:49:11,118.816580,31.871668
256,2024-05-20 08:49:12,118.816550,31.871626
257,2024-05-20 08:49:14,118.816520,31.871582
258,2024-05-20 08:49:23,118.816490,31.871346
259,2024-05-20 08:49:24,118.816460,31.871307
260,2024-05-20 08:49:25,118.816410,31.871280
261,2024-05-20 08:49:26,118.816360,31.871264
262,2024-05-20 08:49:28,118.816210,31.871267
263,2024-05-20 08:49:49,118.813770,31.871317
264,2024-05-20 08:49:51,118.813610,31.871390
265,2024-05-20 08:49:59,118.813190,31.871643
266,2024-05-20 08:50:02,118.813030,31.871826
267,2024-05-20 08:50:32,118.811295,31.874466
268,2024-05-20 08:51:01,118.810260,31.876007
269,2024-05-20 08:51:12,118.809520,31.877403
270,2024-05-20 08:51:28,118.808910,31.878899
271,2024-05-20 08:51:53,118.808770,31.879288
272,2024-05-20 08:52:22,118.808200,31.880844
273,2024-05-20 08:52:52,118.807730,31.882260
274,2024-05-20 08:53:15,118.806720,31.885435
275,2024-05-20 08:53:38,118.806270,31.888342
276,2024-05-20 08:53:40,118.806330,31.888405
277,2024-05-20 08:53:41,118.806360,31.888420
278,2024-05-20 08:53:42,118.806420,31.888420
279,2024-05-20 08:53:49,118.806755,31.888409
280,2024-05-20 08:53:50,118.806786,31.888409
281,2024-05-20 08:53:53,118.806984,31.888388
282,2024-05-20 08:53:57,118.807390,31.888300
283,2024-05-20 08:54:07,118.808400,31.888300
284,2024-05-20 08:54:27,118.808590,31.888172
285,2024-05-20 08:54:29,118.808655,31.888110
286,2024-05-20 08:54:31,118.808720,31.888016
287,2024-05-20 08:54:33,118.808740,31.887897
288,2024-05-20 08:55:04,118.808890,31.885876
289,2024-05-20 08:55:08,118.808940,31.885704
290,2024-05-20 08:55:10,118.809000,31.885675
291,2024-05-20 08:55:12,118.809070,31.885689
292,2024-05-20 08:55:13,118.809100,31.885700
293,2024-05-20 08:55:29,118.808980,31.885693
294,2024-05-20 08:55:32,118.808940,31.885689
295,2024-05-20 08:55:43,118.808810,31.885668
296,2024-05-20 08:55:46,118.808754,31.885668
297,2024-05-20 08:56:17,118.808740,31.885640
298,2024-05-20 09:10:52,118.809010,31.885782
299,2024-05-20 09:11:06,118.808870,31.886765
300,2024-05-20 09:11:08,118.808850,31.886934
301,2024-05-20 09:11:28,118.808754,31.888220
302,2024-05-20 09:11:30,118.808700,31.888296
303,2024-05-20 09:11:32,118.808624,31.888367
304,2024-05-20 09:11:34,118.808540,31.888388
305,2024-05-20 09:11:35,118.808365,31.888400
306,2024-05-20 09:11:47,118.807220,31.888342
307,2024-05-20 09:11:56,118.806816,31.888391
308,2024-05-20 09:11:57,118.806800,31.888388
309,2024-05-20 09:12:04,118.806526,31.888370
